51.255.65.35 - - [27/May/2017:00:00:22 +0800] "GET /sxzn/foreground/viewMetadata.action?id=59 HTTP/1.1" 200 9467
58.32.44.98 - - [27/May/2017:00:30:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:30:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [27/May/2017:00:32:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:32:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:00:33:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:33:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.139.56 - - [27/May/2017:00:34:00 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=9CA9FDAF47AA0F80B7DE2BFBEB8CF768 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:34:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=80F955C621A3383D6E049A6E94ADF6A4 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:34:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D79D067FC1B1D9E878A2D37DA2E66837 HTTP/1.1" 200 26368
111.192.102.34 - - [27/May/2017:00:34:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:34:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:35:49 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:35:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [27/May/2017:00:37:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:37:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.156.138.56 - - [27/May/2017:00:37:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F9AEE8E64D66478B0F147CEB8274E468 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:37:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=6DA10E7A71F75634F78C86110AF88F7A HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:37:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=07FA06AD506F8A26D95A2C2E3550AECB HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:37:40 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
42.156.137.56 - - [27/May/2017:00:37:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7E5C351F3A851CE72C0C2E1FF9D4FB4F HTTP/1.1" 200 26368
113.95.12.85 - - [27/May/2017:00:38:26 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:38:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:39:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:39:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
164.132.161.81 - - [27/May/2017:00:39:29 +0800] "GET /sxzn/foreground/viewMetadata.action?id=102 HTTP/1.1" 200 9088
125.66.152.161 - - [27/May/2017:00:39:53 +0800] "GET http://1212.ip138.com/ic.asp HTTP/1.1" 404 973
58.32.44.98 - - [27/May/2017:00:40:49 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:40:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.56 - - [27/May/2017:00:42:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C4D63ED7ACAC683546BE23B4A38CE599 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:42:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=603ADFF7EC29933D8797E7EFE03B9C95 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:42:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5F2C0051187BDA914AD9D13761BD4947 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:42:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D092C01DCE63301118D45D0F61F9205D HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:00:42:04 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=52A2CA7E52340E1EF6027DD65F198277 HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:00:42:06 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=20F1DC9DCC71409697D93FA10C2E1346 HTTP/1.1" 200 26368
61.149.81.22 - - [27/May/2017:00:42:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:42:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.156.136.62 - - [27/May/2017:00:42:21 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2567
113.95.12.85 - - [27/May/2017:00:43:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:43:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:44:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:44:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:45:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:45:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [27/May/2017:00:47:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:47:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.156.138.56 - - [27/May/2017:00:48:00 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BBB8943C703517671B00F3B6C1BFABB7 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:48:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E77D3CDE72DF84B7471F73306A893C4A HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:48:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=91C265DC857BC2FAA2704D68E9846917 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:48:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=19635DE4B612D3D9F62163BB599AC51C HTTP/1.1" 200 26368
210.74.131.200 - - [27/May/2017:00:48:17 +0800] "GET /favicon.ico HTTP/1.1" 404 988
113.95.12.85 - - [27/May/2017:00:48:26 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:48:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:49:06 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:49:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:50:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:50:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
125.66.152.161 - - [27/May/2017:00:52:09 +0800] "GET http://1212.ip138.com/ic.asp HTTP/1.1" 404 973
42.156.138.56 - - [27/May/2017:00:52:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=33D4D9312F402F1F55D4602482208D6B HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:52:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E0D7292CABF1919276CD669A3971EC12 HTTP/1.1" 200 26368
61.149.81.22 - - [27/May/2017:00:52:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:52:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.161.56 - - [27/May/2017:00:52:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=0DAFBD8382BB5D4FF256C00B3871860A HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:52:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=914FC6A16BE90FFAC3214F8C632D78AD HTTP/1.1" 200 26368
113.95.12.85 - - [27/May/2017:00:53:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:53:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:54:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:54:06 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:00:55:49 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:00:55:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.56 - - [27/May/2017:00:56:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AB84F867EB85CCAB1B206BBCB4D59531 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:00:56:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=455E512942848A20517424B545B9AAFC HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:00:56:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7C6CFA7C9A32FB40B2D6C301E69966AD HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:00:56:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CB1CCA837AD89CF6FC9CF29CD72CEF2E HTTP/1.1" 200 26368
61.149.81.22 - - [27/May/2017:00:57:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:00:57:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:00:58:29 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:00:58:32 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:00:59:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:00:59:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [27/May/2017:01:00:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:01:00:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.161.56 - - [27/May/2017:01:01:25 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D79BD71AC6F2D37C47CC10213B2B92EF HTTP/1.1" 200 26368
42.156.138.56 - - [27/May/2017:01:01:30 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F9D337A0E5EE1487811BED7D36F1C73C HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:01:01:30 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F150CE4FA79DF1E7C1F2439C69E7AB99 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:01:01:23 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=160B06127693C6072FFD146151E912AD HTTP/1.1" 200 26368
113.95.12.85 - - [27/May/2017:01:03:26 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:01:03:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:01:04:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:01:04:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.138.56 - - [27/May/2017:01:04:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A955E23CE010C197CCD286BBCCC03CE2 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:01:04:40 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5D8DFE0B642C34BFDF2B8D563EC1372E HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:01:04:41 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=56AD410AFE10B69AB88EB1FDD4CA0178 HTTP/1.1" 200 26368
58.32.44.98 - - [27/May/2017:01:05:49 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:01:05:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
125.66.152.161 - - [27/May/2017:01:05:50 +0800] "GET http://1212.ip138.com/ic.asp HTTP/1.1" 404 973
61.149.81.22 - - [27/May/2017:01:07:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:01:07:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.156.136.56 - - [27/May/2017:01:08:21 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=0FA7E5D375172E8CEAEEE19DCAB627A5 HTTP/1.1" 200 26368
42.156.137.56 - - [27/May/2017:01:08:22 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F370821D189F8D9ADC5ABB141F090591 HTTP/1.1" 200 26368
113.95.12.85 - - [27/May/2017:01:08:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:01:08:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [27/May/2017:01:09:05 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [27/May/2017:01:09:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
157.55.39.231 - - [27/May/2017:01:09:56 +0800] "GET /zszx/handbook/handbook1.htm HTTP/1.1" 200 306238
58.32.44.98 - - [27/May/2017:01:10:50 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [27/May/2017:01:10:50 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
164.132.161.59 - - [27/May/2017:01:11:16 +0800] "GET /sxzn/foreground/viewMetadata.action?id=58 HTTP/1.1" 200 9428
42.156.138.56 - - [27/May/2017:01:12:00 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A0E8ABB24BCA65E873ABAD50D977C4B4 HTTP/1.1" 200 26368
42.156.139.56 - - [27/May/2017:01:12:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=285E59B466EBECCF539785FF3F218569 HTTP/1.1" 200 26368
42.120.161.56 - - [27/May/2017:01:12:01 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4B2C134C71858AE71DFAA27BD1D620B6 HTTP/1.1" 200 26368
42.156.136.56 - - [27/May/2017:01:12:02 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B0BEF303705B0C6674E7C9801633804F HTTP/1.1" 200 26368
61.149.81.22 - - [27/May/2017:01:12:21 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [27/May/2017:01:12:21 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
113.95.12.85 - - [27/May/2017:01:13:25 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [27/May/2017:01:13:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
