122.224.8.98 - - [30/Jun/2015:00:00:21 +0800] "HEAD /ckfinder HTTP/1.1" 404 -
111.192.102.34 - - [30/Jun/2015:00:30:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:30:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:31:20 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:31:20 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:32:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:33:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:33:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:34:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:34:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.122 - - [30/Jun/2015:00:34:11 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=673315993DD59589C0958CA1BF5D668A?d-49747-p=1 HTTP/1.1" 200 26368
115.28.203.70 - - [30/Jun/2015:00:34:42 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:34:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:34:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:35:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:35:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:36:26 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:36:26 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
121.40.83.80 - - [30/Jun/2015:00:37:28 +0800] "GET / HTTP/1.1" 302 -
112.124.127.44 - - [30/Jun/2015:00:37:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:38:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:38:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:39:10 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:39:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:39:40 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:39:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:39:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
42.156.136.54 - - [30/Jun/2015:00:40:17 +0800] "GET / HTTP/1.1" 302 -
42.156.136.54 - - [30/Jun/2015:00:40:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
111.192.102.34 - - [30/Jun/2015:00:40:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:40:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:41:19 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:41:19 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.69.84 - - [30/Jun/2015:00:41:45 +0800] "GET / HTTP/1.1" 302 -
66.249.69.68 - - [30/Jun/2015:00:41:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
112.124.127.44 - - [30/Jun/2015:00:42:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:43:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:43:25 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:44:10 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:44:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:44:50 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:44:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:44:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:45:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:45:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
66.249.69.84 - - [30/Jun/2015:00:45:52 +0800] "GET /html/hutuwuzhizoucheng.htm HTTP/1.1" 304 -
61.149.81.22 - - [30/Jun/2015:00:46:19 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:46:19 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:47:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:48:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:48:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:49:10 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:49:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:49:24 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:49:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:49:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:00:50:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:50:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:51:18 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:51:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:52:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:53:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:53:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:54:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:54:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:54:41 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:54:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:54:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.69.84 - - [30/Jun/2015:00:55:35 +0800] "GET /sxzn/browseMetadata.action?id=20 HTTP/1.1" 200 16468
111.192.102.34 - - [30/Jun/2015:00:55:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:00:55:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:00:56:18 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:56:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:00:57:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:58:23 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:00:58:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:00:59:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:00:59:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:00:59:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:59:55 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [30/Jun/2015:00:59:55 +0800] "GET /wwwlogs/ex150629.log HTTP/1.1" 200 390287
61.149.81.22 - - [30/Jun/2015:00:59:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:00:59:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:01:00:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:01:00:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:01:01:18 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:01:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.12.161 - - [30/Jun/2015:01:01:55 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [30/Jun/2015:01:01:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:01:02:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:03:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:03:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:01:04:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:01:04:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:01:04:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:04:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:04:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:01:05:37 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:01:05:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.32 - - [30/Jun/2015:01:05:40 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:06:20 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:06:20 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.69.76 - - [30/Jun/2015:01:07:26 +0800] "GET /zszx/sdb2-tx.htm HTTP/1.1" 304 -
111.206.71.44 - - [30/Jun/2015:01:07:42 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18346
112.124.127.44 - - [30/Jun/2015:01:07:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:08:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:08:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [30/Jun/2015:01:09:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:01:09:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:01:09:43 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:09:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:09:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:01:10:37 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:01:10:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:01:11:20 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:11:20 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
112.124.127.44 - - [30/Jun/2015:01:12:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:13:23 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:13:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.184 - - [30/Jun/2015:01:13:36 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:01:14:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:01:14:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.140 - - [30/Jun/2015:01:14:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18346
115.28.203.70 - - [30/Jun/2015:01:14:48 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:14:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:14:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:01:15:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:01:15:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:01:16:19 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:16:19 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.75.69 - - [30/Jun/2015:01:16:59 +0800] "GET /start_ks/jiaoyu/index4_6.html HTTP/1.1" 304 -
142.54.177.26 - - [30/Jun/2015:01:17:02 +0800] "GET /zszx/map/photo/cw/pm.bmp HTTP/1.1" 200 867098
112.124.127.44 - - [30/Jun/2015:01:17:47 +0800] "GET / HTTP/1.1" 302 -
180.76.15.143 - - [30/Jun/2015:01:18:11 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=216 HTTP/1.1" 302 -
180.76.15.147 - - [30/Jun/2015:01:18:11 +0800] "GET /sxzn/login.action;jsessionid=3312E4AE0EEB656A0A736A5F8E8ADD97 HTTP/1.1" 200 7319
58.32.44.98 - - [30/Jun/2015:01:18:23 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:18:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
221.219.196.92 - - [30/Jun/2015:01:19:05 +0800] "GET /zszx/map/photo/yixian/topoline.bmp HTTP/1.1" 200 867098
113.95.12.85 - - [30/Jun/2015:01:19:10 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:01:19:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:01:19:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:19:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:19:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.192.102.34 - - [30/Jun/2015:01:20:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:01:20:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:01:21:18 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:21:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
157.55.39.137 - - [30/Jun/2015:01:22:05 +0800] "GET /sxzn/browseMetadata.action HTTP/1.1" 200 26368
157.55.39.153 - - [30/Jun/2015:01:22:11 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
112.124.127.44 - - [30/Jun/2015:01:22:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:23:23 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:23:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
208.115.111.69 - - [30/Jun/2015:01:23:42 +0800] "GET /robots.txt HTTP/1.1" 200 68
113.95.12.85 - - [30/Jun/2015:01:24:11 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [30/Jun/2015:01:24:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.203.70 - - [30/Jun/2015:01:24:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:24:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:24:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
207.46.13.42 - - [30/Jun/2015:01:25:08 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 200 2013696
207.46.13.42 - - [30/Jun/2015:01:25:28 +0800] "GET /sxzn/css/displaytag.css HTTP/1.1" 200 2309
207.46.13.42 - - [30/Jun/2015:01:25:28 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
207.46.13.42 - - [30/Jun/2015:01:25:29 +0800] "GET /sxzn/js/MzTreeView10.js HTTP/1.1" 200 24098
111.192.102.34 - - [30/Jun/2015:01:25:38 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [30/Jun/2015:01:25:38 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [30/Jun/2015:01:26:18 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [30/Jun/2015:01:26:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.69.84 - - [30/Jun/2015:01:26:40 +0800] "GET / HTTP/1.1" 302 -
66.249.69.68 - - [30/Jun/2015:01:26:41 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
220.181.108.100 - - [30/Jun/2015:01:26:41 +0800] "GET /sxzn/foreground/viewMetadata.action?id=80 HTTP/1.1" 200 9286
111.206.71.16 - - [30/Jun/2015:01:26:42 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
111.206.71.54 - - [30/Jun/2015:01:26:42 +0800] "GET /sxzn/css/metadata.css HTTP/1.1" 200 945
111.206.71.104 - - [30/Jun/2015:01:26:44 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
192.184.51.130 - - [30/Jun/2015:01:27:30 +0800] "GET http://192.184.40.114/check_proxy.php HTTP/1.1" 404 1000
112.124.127.44 - - [30/Jun/2015:01:27:47 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [30/Jun/2015:01:28:23 +0800] "HEAD / HTTP/1.1" 302 -
