141.212.122.128 - - [04/Dec/2017:00:01:54 +0800] "GET /x HTTP/1.1" 400 226
42.236.10.108 - - [04/Dec/2017:00:20:59 +0800] "GET /sxzn/foreground/viewMetadata.action?id=10 HTTP/1.1" 200 9023
42.236.10.102 - - [04/Dec/2017:00:21:00 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=79 HTTP/1.1" 302 -
42.236.10.108 - - [04/Dec/2017:00:21:00 +0800] "GET /sxzn/foreground/viewMetadata.action?id=231 HTTP/1.1" 200 8891
42.236.10.102 - - [04/Dec/2017:00:21:01 +0800] "GET /sxzn/login.action;jsessionid=2F752BAC603E1B34E840C1058CB747CD HTTP/1.1" 200 7254
106.11.158.148 - - [04/Dec/2017:00:21:17 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BBA22944817FE5EF2CED366C43D52CCF HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:21:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E647EDAE4A496822C5F96A9796BF63B4 HTTP/1.1" 200 26368
113.95.12.85 - - [04/Dec/2017:00:22:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:22:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:00:24:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:24:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.11.152.142 - - [04/Dec/2017:00:24:37 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B3C5569B3F4FE22F773AD17B02C9358A HTTP/1.1" 200 26368
106.11.153.137 - - [04/Dec/2017:00:24:38 +0800] "GET /sxzn/foreground/viewMetadata.action?id=58 HTTP/1.1" 200 9488
111.192.102.34 - - [04/Dec/2017:00:24:51 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:24:58 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:24:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [04/Dec/2017:00:25:37 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:25:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [04/Dec/2017:00:26:59 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:27:00 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:00:29:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:29:26 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [04/Dec/2017:00:29:51 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:29:52 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:00:29:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:29:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
58.32.44.98 - - [04/Dec/2017:00:29:58 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:29:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
51.255.65.81 - - [04/Dec/2017:00:30:01 +0800] "GET /http_type/tm/html/pic/LT51210402005272BJC00.jpg HTTP/1.1" 404 1096
106.11.158.148 - - [04/Dec/2017:00:30:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=EEFE60BA9810F852CE537152C9A37D33 HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:30:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7D8D2E5DDAC934468D9F7DC2C91E7D3F HTTP/1.1" 200 26368
68.180.230.244 - - [04/Dec/2017:00:31:08 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=230 HTTP/1.1" 302 -
68.180.230.244 - - [04/Dec/2017:00:31:16 +0800] "GET /sxzn/login.action;jsessionid=3EA363B5A490FBFF2CC33A69E0DC41E2 HTTP/1.1" 200 7449
113.95.12.85 - - [04/Dec/2017:00:32:10 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:32:11 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:00:34:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:34:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [04/Dec/2017:00:34:51 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:34:52 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [04/Dec/2017:00:34:58 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:34:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.11.158.148 - - [04/Dec/2017:00:35:17 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=54C0B5B9600C9A412B601A5FABD600FD HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:35:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=DF2BC6F389EA4584E34BA2C59FA3812F HTTP/1.1" 200 26368
106.11.152.142 - - [04/Dec/2017:00:35:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8C0C17872B1A233EB7BA422B01A6F591 HTTP/1.1" 200 26368
106.11.153.137 - - [04/Dec/2017:00:35:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=75B87D532E3E5F7F531A3C274C6913A4 HTTP/1.1" 200 26368
207.46.13.92 - - [04/Dec/2017:00:35:41 +0800] "GET /sxzn/images/doc_02.gif HTTP/1.1" 200 55
113.95.12.85 - - [04/Dec/2017:00:36:59 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:37:00 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.11.158.148 - - [04/Dec/2017:00:39:17 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8116F42317FF4276EA3C80A955FD6981 HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:39:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=422D7809E0E8B787BEC19F216A2A06DB HTTP/1.1" 200 26368
61.149.81.22 - - [04/Dec/2017:00:39:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:39:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [04/Dec/2017:00:39:52 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:39:52 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [04/Dec/2017:00:39:58 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:39:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [04/Dec/2017:00:42:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:42:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.11.158.148 - - [04/Dec/2017:00:43:57 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E9B4C924B25635EBBBBCCC6A8BBBCF24 HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:43:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E28E3193A4C5CBD1B222D8B50AC39FA6 HTTP/1.1" 200 26368
106.11.152.142 - - [04/Dec/2017:00:43:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A3B0B7D5A36C418FEF6544664EC3831D HTTP/1.1" 200 26368
61.149.81.22 - - [04/Dec/2017:00:44:28 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:44:28 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [04/Dec/2017:00:44:52 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:45:26 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:45:26 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
5.196.87.60 - - [04/Dec/2017:00:45:30 +0800] "GET /robots.txt HTTP/1.1" 404 985
217.182.132.55 - - [04/Dec/2017:00:45:30 +0800] "GET /sxzn/aboutSXZN.jsp HTTP/1.1" 200 7282
111.192.102.34 - - [04/Dec/2017:00:45:36 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:45:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [04/Dec/2017:00:47:36 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:47:36 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:00:49:26 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:49:26 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
51.255.71.117 - - [04/Dec/2017:00:49:30 +0800] "GET /http_type/tm/pic/LT41200401989069XXX02.jpg HTTP/1.1" 200 186707
111.192.102.34 - - [04/Dec/2017:00:49:52 +0800] "HEAD / HTTP/1.1" 302 -
106.11.158.148 - - [04/Dec/2017:00:49:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=701200C902DF733FE611A74FE4626463 HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:49:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=765924DBDBCE28FD6F951E85421CEAF0 HTTP/1.1" 200 26368
106.11.152.142 - - [04/Dec/2017:00:49:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E22AD8541F6048BFB037B1270452DC49 HTTP/1.1" 200 26368
217.182.132.85 - - [04/Dec/2017:00:50:01 +0800] "GET /http_type/tm/html/docments/LT51220332005247BJC00%20Metadata.htm HTTP/1.1" 404 259
111.192.102.34 - - [04/Dec/2017:00:50:35 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:50:36 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [04/Dec/2017:00:50:36 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:50:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
217.182.132.5 - - [04/Dec/2017:00:50:41 +0800] "GET /http_type/tm/html/html/pic/LT41320331989041XXX03.jpg HTTP/1.1" 404 1111
65.55.210.202 - - [04/Dec/2017:00:51:36 +0800] "GET /sxzn/css/displaytag.css HTTP/1.1" 200 2309
65.55.210.202 - - [04/Dec/2017:00:51:36 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
65.55.210.202 - - [04/Dec/2017:00:51:37 +0800] "GET /sxzn/js/MzTreeView10.js HTTP/1.1" 200 24098
113.95.12.85 - - [04/Dec/2017:00:52:36 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:52:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:00:54:26 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:54:26 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [04/Dec/2017:00:55:36 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:00:55:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [04/Dec/2017:00:56:23 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:00:56:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [04/Dec/2017:00:57:36 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:00:57:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
51.255.65.15 - - [04/Dec/2017:00:57:45 +0800] "GET /http_type/tm/pic/LT51190232006245IKR00.jpg HTTP/1.1" 200 157484
106.11.158.148 - - [04/Dec/2017:00:58:17 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=ED80A685998FB7CD2D93BFCE40D8C4F1 HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:00:58:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=9E89DB2B1A85A23988641FEE3AE7EC58 HTTP/1.1" 200 26368
106.11.152.142 - - [04/Dec/2017:00:58:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D0E45A7432E5F65B597385E57546B982 HTTP/1.1" 200 26368
106.11.153.137 - - [04/Dec/2017:00:58:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1D0B5DA0725476E532853DDA0967FD95 HTTP/1.1" 200 26368
51.255.65.65 - - [04/Dec/2017:00:58:59 +0800] "GET /http_type/tm/html/docments/LT51220332006202IKR00%20Metadata.htm HTTP/1.1" 404 259
61.149.81.22 - - [04/Dec/2017:00:59:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:00:59:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
61.149.81.22 - - [04/Dec/2017:01:00:11 +0800] "GET /wwwlogs/ex171029.log HTTP/1.1" 404 1015
61.149.81.22 - - [04/Dec/2017:01:00:11 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [04/Dec/2017:01:00:11 +0800] "GET /wwwlogs/ex171203.log HTTP/1.1" 200 339827
58.32.44.98 - - [04/Dec/2017:01:00:36 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:01:00:36 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
223.141.113.177 - - [04/Dec/2017:01:01:13 +0800] "GET /clim/images/pretty2.jpg HTTP/1.1" 200 23317
203.208.60.132 - - [04/Dec/2017:01:01:18 +0800] "GET /zszx/handbook/notes.docs/image056.jpg HTTP/1.1" 304 -
111.192.102.34 - - [04/Dec/2017:01:02:09 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:01:02:10 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.12.161 - - [04/Dec/2017:01:02:15 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [04/Dec/2017:01:02:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
106.11.158.148 - - [04/Dec/2017:01:02:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5F88D68C8DA6CEEAA394C5EC6874C8AB HTTP/1.1" 200 26368
113.95.12.85 - - [04/Dec/2017:01:03:23 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:01:03:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [04/Dec/2017:01:04:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:01:04:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
51.255.65.40 - - [04/Dec/2017:01:04:32 +0800] "GET /http_type/tm/html/docments/LT51210382006211IKR00%20Metadata.htm HTTP/1.1" 404 259
164.132.161.64 - - [04/Dec/2017:01:04:43 +0800] "GET /http_type/tm/html/pic/LT51260392005147BJC00.jpg HTTP/1.1" 404 1096
58.32.44.98 - - [04/Dec/2017:01:05:37 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:01:05:37 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.11.156.135 - - [04/Dec/2017:01:06:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=50A79ACE0421A43F266115277795A435 HTTP/1.1" 200 26368
106.11.152.142 - - [04/Dec/2017:01:06:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4F344852F9B9CBBC156109247D1F2F0B HTTP/1.1" 200 26368
106.11.153.137 - - [04/Dec/2017:01:06:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BD90B7AB2CD9F0247A229F76FB994D96 HTTP/1.1" 200 26368
111.192.102.34 - - [04/Dec/2017:01:07:30 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:01:07:31 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.67.162 - - [04/Dec/2017:01:07:34 +0800] "GET /robots.txt HTTP/1.1" 404 985
113.95.12.85 - - [04/Dec/2017:01:08:23 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:01:08:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
164.132.161.41 - - [04/Dec/2017:01:09:09 +0800] "GET /sxzn/listDataOfMD.action?id=229 HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:01:09:25 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [04/Dec/2017:01:09:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
137.74.201.99 - - [04/Dec/2017:01:09:48 +0800] "GET /http_type/tm/docments/LT51200382007207IKR00%20Metadata.htm HTTP/1.1" 200 16134
106.11.158.148 - - [04/Dec/2017:01:09:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=6B39CB8C67554052634BA23E6BA33E1C HTTP/1.1" 200 26368
106.11.156.135 - - [04/Dec/2017:01:09:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E0B234E388B57013E08C2195E400F608 HTTP/1.1" 200 26368
58.32.44.98 - - [04/Dec/2017:01:11:24 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [04/Dec/2017:01:11:24 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [04/Dec/2017:01:12:48 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:01:13:32 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [04/Dec/2017:01:13:32 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [04/Dec/2017:01:13:41 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [04/Dec/2017:01:13:42 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
106.11.158.148 - - [04/Dec/2017:01:14:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5FD4568C9E96657001E9C637DA95792F HTTP/1.1" 200 26368
61.149.81.22 - - [04/Dec/2017:01:14:25 +0800] "GET / HTTP/1.1" 302 -
