220.164.164.198 - - [14/Sep/2015:00:00:06 +0800] "POST /login.action HTTP/1.1" 404 991
58.32.44.98 - - [14/Sep/2015:00:08:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:08:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:09:04 +0800] "GET / HTTP/1.1" 302 -
111.206.71.24 - - [14/Sep/2015:00:09:35 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18580
61.149.81.22 - - [14/Sep/2015:00:09:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:09:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
207.46.13.130 - - [14/Sep/2015:00:10:12 +0800] "GET /clim/images/pretty2.jpg HTTP/1.1" 200 23317
111.192.102.34 - - [14/Sep/2015:00:10:17 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:10:17 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:00:11:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:11:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:12:40 +0800] "GET / HTTP/1.1" 302 -
220.181.108.145 - - [14/Sep/2015:00:12:49 +0800] "GET / HTTP/1.1" 302 -
203.208.60.152 - - [14/Sep/2015:00:13:10 +0800] "GET /robots.txt HTTP/1.1" 200 68
203.208.60.152 - - [14/Sep/2015:00:13:10 +0800] "GET /start_ks/jiaoyu/index4_7.html HTTP/1.1" 304 -
58.32.44.98 - - [14/Sep/2015:00:13:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:13:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:14:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:14:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:14:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:15:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:15:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.183 - - [14/Sep/2015:00:15:17 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18580
113.95.12.85 - - [14/Sep/2015:00:16:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:16:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:17:40 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:18:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:18:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:19:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:19:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:19:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:20:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:20:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:00:21:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:21:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:22:40 +0800] "GET / HTTP/1.1" 302 -
113.25.201.11 - - [14/Sep/2015:00:22:49 +0800] "GET /favicon.ico HTTP/1.1" 404 988
58.32.44.98 - - [14/Sep/2015:00:23:13 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:23:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:24:04 +0800] "GET / HTTP/1.1" 302 -
218.201.170.59 - - [14/Sep/2015:00:24:17 +0800] "GET /tlp/images/riverintro2.gif HTTP/1.1" 200 100899
61.149.81.22 - - [14/Sep/2015:00:24:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:24:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:25:17 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:25:17 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:00:26:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:26:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:27:40 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:28:13 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:28:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:29:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:29:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:29:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
61.149.81.22 - - [14/Sep/2015:00:29:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:29:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
111.192.102.34 - - [14/Sep/2015:00:30:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:30:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:00:31:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:31:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:32:40 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:33:13 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:33:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:34:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:34:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:34:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:35:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:35:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:00:36:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:36:57 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:37:40 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:38:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:38:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:39:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:39:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:39:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:40:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:40:17 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
180.76.15.156 - - [14/Sep/2015:00:40:26 +0800] "GET / HTTP/1.1" 302 -
180.76.15.12 - - [14/Sep/2015:00:40:58 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:41:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:41:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:42:40 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:43:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:43:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:44:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:44:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:44:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:45:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:45:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
118.244.131.102 - - [14/Sep/2015:00:45:30 +0800] "PUT /uuuoo14399.txt HTTP/1.1" 403 964
113.95.12.85 - - [14/Sep/2015:00:46:57 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:46:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
203.208.60.19 - - [14/Sep/2015:00:47:10 +0800] "GET / HTTP/1.1" 302 -
203.208.60.19 - - [14/Sep/2015:00:47:11 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
115.28.196.232 - - [14/Sep/2015:00:47:40 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:48:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:48:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:49:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:49:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:49:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:50:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:50:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
207.46.13.132 - - [14/Sep/2015:00:51:27 +0800] "GET /zszx/map/standard/level3/loes_1950s.doc HTTP/1.1" 200 239104
113.95.12.85 - - [14/Sep/2015:00:51:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:51:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:52:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:53:13 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:53:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:54:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:54:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:54:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:00:55:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:00:55:17 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:00:56:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:00:56:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:00:57:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:58:13 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:00:58:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:00:59:04 +0800] "GET / HTTP/1.1" 302 -
42.62.37.184 - - [14/Sep/2015:00:59:04 +0800] "GET /robots.txt HTTP/1.1" 200 68
42.62.37.184 - - [14/Sep/2015:00:59:04 +0800] "HEAD /sxzn/foreground/listDataOfMD.action?id=187 HTTP/1.1" 302 -
42.62.37.184 - - [14/Sep/2015:00:59:05 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=187 HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:59:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:00:59:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:01:00:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:00:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [14/Sep/2015:01:00:21 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [14/Sep/2015:01:00:21 +0800] "GET /wwwlogs/ex150913.log HTTP/1.1" 200 1507689
61.149.12.161 - - [14/Sep/2015:01:01:24 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [14/Sep/2015:01:01:24 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
113.95.12.85 - - [14/Sep/2015:01:01:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:01:01:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:01:02:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:03:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:03:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.19 - - [14/Sep/2015:01:03:26 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [14/Sep/2015:01:04:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:04:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:04:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:01:05:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:05:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.18 - - [14/Sep/2015:01:05:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18580
113.95.12.85 - - [14/Sep/2015:01:06:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:01:06:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:01:07:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:08:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:08:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:01:09:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:09:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:09:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
220.181.108.115 - - [14/Sep/2015:01:09:43 +0800] "GET / HTTP/1.1" 302 -
68.180.229.54 - - [14/Sep/2015:01:09:52 +0800] "GET /zszx/index7.htm HTTP/1.1" 404 213
111.192.102.34 - - [14/Sep/2015:01:10:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:10:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.84 - - [14/Sep/2015:01:10:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18580
113.95.12.85 - - [14/Sep/2015:01:11:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:01:11:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:01:12:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:13:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:13:12 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:01:14:04 +0800] "GET / HTTP/1.1" 302 -
125.94.55.110 - - [14/Sep/2015:01:14:22 +0800] "GET /zszx/map/photo/50huangtu/pldfb.bmp HTTP/1.1" 200 867098
61.149.81.22 - - [14/Sep/2015:01:14:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:14:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:01:15:15 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:15:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:01:16:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:01:16:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:01:17:39 +0800] "GET / HTTP/1.1" 302 -
60.173.10.102 - - [14/Sep/2015:01:18:05 +0800] "GET / HTTP/1.1" 302 -
60.173.10.102 - - [14/Sep/2015:01:18:05 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
60.173.10.102 - - [14/Sep/2015:01:18:05 +0800] "POST /trackback/ HTTP/1.1" 404 985
58.32.44.98 - - [14/Sep/2015:01:18:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:18:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:01:19:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:19:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:19:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:01:20:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:20:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:01:21:59 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:01:21:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:01:22:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:23:12 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:23:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [14/Sep/2015:01:24:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:24:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:24:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [14/Sep/2015:01:25:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:25:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [14/Sep/2015:01:26:58 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [14/Sep/2015:01:26:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [14/Sep/2015:01:27:39 +0800] "GET / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:28:13 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [14/Sep/2015:01:28:13 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
121.199.58.228 - - [14/Sep/2015:01:28:42 +0800] "GET http://m.baidu.com/api?action=redirect&token=duoku&from=1631a&type=app&dltype=new&tj=game_7697566_1456144_2048%28%E6%9E%81%E9%80%9F%E7%89%88%29&blink=f123687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f363332623935303031366162396135302f323034386a69737562616e5f372e61706b3f66726f6d3d6131313031e755&crversion=1 HTTP/1.1" 404 964
112.124.127.64 - - [14/Sep/2015:01:29:04 +0800] "GET / HTTP/1.1" 302 -
121.199.58.228 - - [14/Sep/2015:01:29:20 +0800] "GET http://m.baidu.com/api?action=redirect&token=duoku&from=1631a&type=app&dltype=new&tj=soft_7895601_4093125423_%E6%AF%8F%E5%A4%A9%E6%97%A5%E5%8E%86&blink=5921687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f346330363365333135393662326264372f6d65697469616e72696c695f36302e61706b3f66726f6d3d6131313031e755&crversion=1 HTTP/1.1" 404 964
61.149.81.22 - - [14/Sep/2015:01:29:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:29:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
61.149.81.22 - - [14/Sep/2015:01:29:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [14/Sep/2015:01:29:56 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
121.199.58.228 - - [14/Sep/2015:01:29:58 +0800] "GET http://m.baidu.com/api?action=redirect&token=duoku&from=1631a&type=app&dltype=new&tj=game_7664041_1449628_%E9%A3%9E%E6%9C%BA%E8%B7%B3%E8%B7%B3&blink=8a23687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f653536306231333236633463626135392f6665696a697469616f7469616f5f372e61706b3f66726f6d3d6131313031e755&crversion=1 HTTP/1.1" 404 964
111.192.102.34 - - [14/Sep/2015:01:30:16 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [14/Sep/2015:01:30:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
121.199.58.228 - - [14/Sep/2015:01:30:35 +0800] "GET http://m.baidu.com/api?action=redirect&token=duoku&from=1631a&type=app&dltype=new&tj=game_7697566_1456144_2048%28%E6%9E%81%E9%80%9F%E7%89%88%29&blink=0025687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f363332623935303031366162396135302f323034386a69737562616e5f372e61706b3f66726f6d3d6131313031e755&crversion=1 HTTP/1.1" 404 964
121.199.58.228 - - [14/Sep/2015:01:31:11 +0800] "GET http://m.baidu.com/api?action=redirect&token=duoku&from=1631a&type=app&dltype=new&tj=game_7878298_1511261_%E6%98%9F%E6%98%9F%E8%BF%9E%E8%90%8C&blink=1a25687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f666437323332303639646230636265652f78696e6778696e676c69616e6d656e675f36303030302e61706b3f66726f6d3d6131313031e755&crversion=1 HTTP/1.1" 404 964
121.199.58.228 - - [14/Sep/2015:01:31:48 +0800] "GET http://m.baidu.com/api?action=redirect&token=duoku&from=1631a&type=app&dltype=new&tj=game_7664041_1449628_%E9%A3%9E%E6%9C%BA%E8%B7%B3%E8%B7%B3&blink=8a23687474703a2f2f612e67646f776e2e62616964752e636f6d2f646174612f7769736567616d652f653536306231333236633463626135392f6665696a697469616f7469616f5f372e61706b3f66726f6d3d6131313031e755&crversion=1 HTTP/1.1" 404 964
113.95.12.85 - - [14/Sep/2015:01:31:58 +0800] "HEAD / HTTP/1.1" 302 -
