117.81.88.141 - - [10/Oct/2015:00:00:27 +0800] "GET /zszx/map/photo/90huangtu/rain.bmp HTTP/1.1" 200 867098
113.95.12.85 - - [10/Oct/2015:00:34:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:34:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:34:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
203.208.60.13 - - [10/Oct/2015:00:35:25 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 304 -
58.32.44.98 - - [10/Oct/2015:00:36:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:36:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.57.193.117 - - [10/Oct/2015:00:36:42 +0800] "GET /tlp/images/riverintro2.gif HTTP/1.1" 200 100899
115.28.196.232 - - [10/Oct/2015:00:37:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:38:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:38:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
180.76.15.136 - - [10/Oct/2015:00:38:22 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [10/Oct/2015:00:38:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:39:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:39:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:39:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:39:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:41:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:41:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:42:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:43:08 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:43:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:43:44 +0800] "GET / HTTP/1.1" 302 -
203.208.60.21 - - [10/Oct/2015:00:43:52 +0800] "GET / HTTP/1.1" 302 -
203.208.60.21 - - [10/Oct/2015:00:43:55 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
113.95.12.85 - - [10/Oct/2015:00:44:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:44:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:44:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:44:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:46:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:46:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:47:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:48:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:48:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:48:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:49:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:49:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:49:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:49:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:00:51:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:51:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:00:52:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:53:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:53:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:53:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:54:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:54:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:54:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:54:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
114.246.103.25 - - [10/Oct/2015:00:54:19 +0800] "GET /favicon.ico HTTP/1.1" 404 988
119.179.121.223 - - [10/Oct/2015:00:54:58 +0800] "GET http://pay.163.com/index.jsp HTTP/1.1" 302 -
119.179.121.223 - - [10/Oct/2015:00:54:58 +0800] "GET http://pay.163.com/sxzn/index.action HTTP/1.1" 200 18517
58.32.44.98 - - [10/Oct/2015:00:56:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:00:56:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
208.115.113.85 - - [10/Oct/2015:00:56:16 +0800] "GET /sxzn/foreground/viewMetadata.action?id=185 HTTP/1.1" 200 9053
115.28.196.232 - - [10/Oct/2015:00:57:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:58:08 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:00:58:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:00:58:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:59:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:00:59:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:00:59:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:00:59:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
61.149.81.22 - - [10/Oct/2015:00:59:45 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [10/Oct/2015:00:59:45 +0800] "GET /wwwlogs/ex151009.log HTTP/1.1" 200 407918
61.149.12.161 - - [10/Oct/2015:01:01:01 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [10/Oct/2015:01:01:01 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:01:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:01:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:02:19 +0800] "GET / HTTP/1.1" 302 -
111.206.71.29 - - [10/Oct/2015:01:03:03 +0800] "GET / HTTP/1.1" 302 -
111.206.71.60 - - [10/Oct/2015:01:03:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18580
111.192.102.34 - - [10/Oct/2015:01:03:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:03:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:03:44 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:04:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:04:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:04:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:04:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:06:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:06:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.88 - - [10/Oct/2015:01:07:10 +0800] "GET / HTTP/1.1" 302 -
220.181.108.86 - - [10/Oct/2015:01:07:10 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18580
115.28.196.232 - - [10/Oct/2015:01:07:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:08:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:08:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.206.71.22 - - [10/Oct/2015:01:08:32 +0800] "GET / HTTP/1.1" 302 -
112.124.127.64 - - [10/Oct/2015:01:08:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:09:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:09:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:09:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:09:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
220.181.108.121 - - [10/Oct/2015:01:09:38 +0800] "GET / HTTP/1.1" 302 -
111.206.71.26 - - [10/Oct/2015:01:10:36 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:11:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:11:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:12:19 +0800] "GET / HTTP/1.1" 302 -
220.181.108.91 - - [10/Oct/2015:01:12:29 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [10/Oct/2015:01:13:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:13:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:13:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:14:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:14:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:14:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:14:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:16:05 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:16:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:17:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:18:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:18:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:18:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:19:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:19:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:19:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:19:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:21:05 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:21:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:22:19 +0800] "GET / HTTP/1.1" 302 -
42.62.36.194 - - [10/Oct/2015:01:22:47 +0800] "GET /robots.txt HTTP/1.1" 200 68
42.62.36.194 - - [10/Oct/2015:01:22:48 +0800] "HEAD /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 -
42.62.36.194 - - [10/Oct/2015:01:22:48 +0800] "GET /sxzn/foreground/browseMetadata.action HTTP/1.1" 200 25884
111.192.102.34 - - [10/Oct/2015:01:23:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:23:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:23:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:24:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:24:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:24:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:24:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:26:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:26:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:27:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:28:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:28:08 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:28:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:29:07 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:29:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:29:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:29:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
61.149.81.22 - - [10/Oct/2015:01:29:41 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:29:41 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18819
36.99.30.208 - - [10/Oct/2015:01:31:01 +0800] "GET / HTTP/1.1" 302 -
36.99.30.208 - - [10/Oct/2015:01:31:01 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
58.32.44.98 - - [10/Oct/2015:01:31:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:31:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:32:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:33:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:33:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:33:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:34:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:34:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:34:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:34:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
65.55.215.41 - - [10/Oct/2015:01:34:09 +0800] "GET /robots.txt HTTP/1.1" 200 68
203.208.60.13 - - [10/Oct/2015:01:34:18 +0800] "GET /tlp/advanced/navigation/style.css HTTP/1.1" 200 4724
65.55.215.41 - - [10/Oct/2015:01:34:10 +0800] "GET /zszx/map/photo/50huangtu/plwkxsl.bmp HTTP/1.1" 200 867098
58.32.44.98 - - [10/Oct/2015:01:36:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:36:04 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:37:19 +0800] "GET / HTTP/1.1" 302 -
220.181.108.143 - - [10/Oct/2015:01:37:58 +0800] "GET / HTTP/1.1" 302 -
220.181.108.157 - - [10/Oct/2015:01:37:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.206.71.110 - - [10/Oct/2015:01:38:00 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:38:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:38:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
112.124.127.64 - - [10/Oct/2015:01:38:43 +0800] "GET / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:39:06 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Oct/2015:01:39:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Oct/2015:01:39:08 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Oct/2015:01:39:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
117.21.176.241 - - [10/Oct/2015:01:40:46 +0800] "GET /include/fckeditor/editor/ HTTP/1.1" 404 1030
58.32.44.98 - - [10/Oct/2015:01:41:04 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Oct/2015:01:41:05 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
115.28.196.232 - - [10/Oct/2015:01:42:19 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:43:07 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Oct/2015:01:43:07 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
