68.180.228.50 - - [10/Jan/2017:00:00:05 +0800] "GET /sxzn/login.action;jsessionid=99AA4408AC09AA888F23E0BF5B0D7FB6 HTTP/1.1" 200 7386
42.120.161.109 - - [10/Jan/2017:00:25:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4A93F378BFDD6E7C89AAA795BCD7B791 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:00:25:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=368C62B0B22E5EDCCAF9E8467F09A725 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:00:25:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=139CD2272CC6BBB083D7BF565E19FBA0 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:00:26:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:26:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.122 - - [10/Jan/2017:00:28:09 +0800] "GET / HTTP/1.1" 302 -
220.181.108.121 - - [10/Jan/2017:00:28:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
111.192.102.34 - - [10/Jan/2017:00:28:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:28:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:29:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:29:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:29:32 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:29:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
61.149.81.22 - - [10/Jan/2017:00:29:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:29:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
58.32.44.98 - - [10/Jan/2017:00:31:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:31:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:00:31:58 +0800] "GET /clim/advanced/index.jsp HTTP/1.1" 200 723
42.120.161.109 - - [10/Jan/2017:00:31:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=75BD24BDB3D2EDA29AE3F1D456D14F11 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:00:31:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=F6390E012F975F891D12D963971C9164 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:00:31:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D409440D4DCDDC1E0F7CD33F813A7E1B HTTP/1.1" 200 26368
42.156.139.109 - - [10/Jan/2017:00:31:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=863719E20E9528209507C20F105D30E1 HTTP/1.1" 200 26368
111.192.102.34 - - [10/Jan/2017:00:33:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:33:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:34:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:34:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:34:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:34:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:00:36:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:36:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
220.181.108.180 - - [10/Jan/2017:00:36:41 +0800] "GET /robots.txt HTTP/1.1" 404 985
42.120.160.109 - - [10/Jan/2017:00:36:57 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C471E565ED9A59E34C804C64027299DA HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:00:36:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=DA496A039477E9777BD30B8A8E263B98 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:00:36:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=926AB734CC37A7D002697A27C864C7B8 HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:00:36:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=9BB01E0E921F439A106DDF5F740543C4 HTTP/1.1" 200 26368
42.156.139.109 - - [10/Jan/2017:00:36:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5DEF4C66FA48D073AF12919A884E54B5 HTTP/1.1" 200 26368
111.192.102.34 - - [10/Jan/2017:00:38:59 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:38:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:39:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:39:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:39:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:39:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
46.165.254.129 - - [10/Jan/2017:00:40:21 +0800] "GET /muieblackcat HTTP/1.1" 404 991
46.165.254.129 - - [10/Jan/2017:00:40:22 +0800] "GET //phpMyAdmin/scripts/setup.php HTTP/1.1" 404 1039
46.165.254.129 - - [10/Jan/2017:00:40:22 +0800] "GET //phpmyadmin/scripts/setup.php HTTP/1.1" 404 1039
58.32.44.98 - - [10/Jan/2017:00:41:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:41:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:00:43:59 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:43:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:44:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:44:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:44:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:44:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:00:45:19 +0800] "GET /sxzn/login.action;jsessionid=2BBE76C09AEBD48C75315AF1D0896194 HTTP/1.1" 200 7449
42.120.161.109 - - [10/Jan/2017:00:45:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B465FA4CDDBE27151E1C0210ACB8D153 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:00:45:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1FE340D5B03136804010CD0919EF0EE2 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:00:46:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:46:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:00:48:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=DADB23007E1DD4FB2D5678387E267D6F HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:00:48:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=327B79A0CB23F5EBE47278A67DBC1D16 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:00:48:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=00EF0585D8DFE84ED52BA30CED3A2A9B HTTP/1.1" 200 26368
111.192.102.34 - - [10/Jan/2017:00:48:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:48:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:49:21 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:49:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:49:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:49:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:00:51:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:00:51:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:00:53:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:53:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:00:54:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:54:23 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:54:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:54:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:00:54:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=EC7A1BB5802B0E8FE51AA4CBA793910E HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:00:56:16 +0800] "HEAD / HTTP/1.1" 302 -
207.46.13.118 - - [10/Jan/2017:00:58:56 +0800] "GET / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:58:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:00:58:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:00:59:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1439197938BDF6ABD6EAB7761E2FE424 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:00:59:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E84EF5F9A3F35C43939FB41D4D1DFFF1 HTTP/1.1" 200 26368
113.95.12.85 - - [10/Jan/2017:00:59:21 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:00:59:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:00:59:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:00:59:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
61.149.81.22 - - [10/Jan/2017:00:59:47 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [10/Jan/2017:00:59:47 +0800] "GET /wwwlogs/ex170109.log HTTP/1.1" 200 410504
58.32.44.98 - - [10/Jan/2017:01:01:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:01:01:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
203.208.60.196 - - [10/Jan/2017:01:02:01 +0800] "GET /robots.txt HTTP/1.1" 404 985
203.208.60.196 - - [10/Jan/2017:01:02:01 +0800] "GET / HTTP/1.1" 302 -
203.208.60.196 - - [10/Jan/2017:01:02:02 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
61.149.12.161 - - [10/Jan/2017:01:02:04 +0800] "GET / HTTP/1.1" 302 -
61.149.12.161 - - [10/Jan/2017:01:02:04 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
210.77.64.207 - - [10/Jan/2017:01:03:03 +0800] "GET / HTTP/1.1" 302 -
210.77.64.207 - - [10/Jan/2017:01:03:03 +0800] "HEAD / HTTP/1.1" 302 -
210.77.64.207 - - [10/Jan/2017:01:03:03 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
210.77.64.207 - - [10/Jan/2017:01:03:03 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:01:03:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:01:03:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:01:04:21 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:01:04:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:01:04:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:04:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:01:05:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=96AC1588A79E032BAF47447F13677BFD HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:01:05:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4FD8BAE83819AB46F40EAD945F9ABFC3 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:01:05:19 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CFE1FF9DF95563603F03A29E31AA83DA HTTP/1.1" 200 26368
42.156.138.109 - - [10/Jan/2017:01:05:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=286406079611305A927CF9532BBEC542 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:01:06:15 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:01:06:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:01:08:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:01:08:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:01:09:21 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:01:09:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:01:09:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:09:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:01:09:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C7506B629C6130AFE27AD450D19EFAA3 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:01:09:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3505DCB7AEA180925A6BD662E4837A4F HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:01:09:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=D48384306C7022EB7796648A2D8FECF8 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:01:11:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:01:11:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
50.140.68.95 - - [10/Jan/2017:01:13:24 +0800] "GET / HTTP/1.0" 302 -
111.192.102.34 - - [10/Jan/2017:01:13:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:01:13:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:01:14:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:01:14:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:01:14:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:14:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:01:16:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:01:16:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:01:17:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=FD5C06E6C939EFC6DE9FAB148E4B5AF8 HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:01:17:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8669A791A15653E80C118189BFC760B9 HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:01:18:00 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=83403C3A456BF749DE86CFD373E8BB04 HTTP/1.1" 200 26368
111.192.102.34 - - [10/Jan/2017:01:18:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:01:18:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:01:19:21 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:01:19:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:01:19:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:19:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
58.32.44.98 - - [10/Jan/2017:01:21:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:01:21:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.120.160.109 - - [10/Jan/2017:01:22:18 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=4BE169EA597E8AA97940CF513C220A3B HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:01:22:20 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=AB34DA909F4AF4FACCBD65E5F5989154 HTTP/1.1" 200 26368
111.192.102.34 - - [10/Jan/2017:01:23:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:01:23:59 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:01:24:22 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:01:24:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:01:24:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:24:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
42.120.160.109 - - [10/Jan/2017:01:25:38 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=6A58F50B10847B54EB531E44984815DD HTTP/1.1" 200 26368
42.120.161.109 - - [10/Jan/2017:01:25:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7F27FAC9E289CE336987A39F0B13074C HTTP/1.1" 200 26368
42.156.137.109 - - [10/Jan/2017:01:25:39 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3427D168AFA9D3B5A9A46D730C26CCB0 HTTP/1.1" 200 26368
58.32.44.98 - - [10/Jan/2017:01:26:16 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [10/Jan/2017:01:26:16 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
111.192.102.34 - - [10/Jan/2017:01:28:58 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [10/Jan/2017:01:28:58 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [10/Jan/2017:01:29:21 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [10/Jan/2017:01:29:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [10/Jan/2017:01:29:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:29:31 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18639
61.149.81.22 - - [10/Jan/2017:01:29:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Jan/2017:01:29:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18815
42.236.99.16 - - [10/Jan/2017:01:30:31 +0800] "GET /foreground/viewMetadata.action?id=213 HTTP/1.1" 404 1045
