113.140.84.108 - - [10/Dec/2014:00:00:23 +0800] "GET /sxzn/sxzn-userGuide.doc HTTP/1.1" 200 2013696
113.140.28.66 - - [10/Dec/2014:00:10:00 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=187 HTTP/1.1" 200 6177
113.140.28.66 - - [10/Dec/2014:00:10:06 +0800] "GET /sxzn/foreground/viewDataset.action?id=248 HTTP/1.1" 200 7018
113.140.84.108 - - [10/Dec/2014:00:10:18 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=216 HTTP/1.1" 200 6274
113.140.84.108 - - [10/Dec/2014:00:10:26 +0800] "GET /sxzn/foreground/viewDataset.action?id=2367 HTTP/1.1" 200 1580
113.140.84.108 - - [10/Dec/2014:00:10:28 +0800] "GET /sxzn/foreground/applyDataFile.action?id=2367 HTTP/1.1" 200 7703
220.181.108.105 - - [10/Dec/2014:00:10:33 +0800] "GET / HTTP/1.1" 302 -
220.181.108.117 - - [10/Dec/2014:00:10:33 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
36.45.191.252 - - [10/Dec/2014:00:11:16 +0800] "GET /sxzn/foreground/browseMetadata.action?id=20 HTTP/1.1" 200 16380
36.45.191.252 - - [10/Dec/2014:00:11:17 +0800] "GET /sxzn/js/images_mz/exit.gif HTTP/1.1" 404 224
113.140.28.66 - - [10/Dec/2014:00:11:34 +0800] "GET /http_type/tm/index.html HTTP/1.1" 200 3189
113.140.28.66 - - [10/Dec/2014:00:11:34 +0800] "GET /http_type/tm/jquery-1.3.2.min.js HTTP/1.1" 200 57254
113.140.28.66 - - [10/Dec/2014:00:11:34 +0800] "GET /http_type/tm/small.gif HTTP/1.1" 200 4645
113.140.28.66 - - [10/Dec/2014:00:11:34 +0800] "GET /http_type/tm/jqzoom.css HTTP/1.1" 200 1080
113.140.28.66 - - [10/Dec/2014:00:11:34 +0800] "GET /http_type/tm/jquery-1.3.2.min.js HTTP/1.1" 200 57254
113.140.28.66 - - [10/Dec/2014:00:11:34 +0800] "GET /http_type/tm/jqzoom.pack.1.0.1.js HTTP/1.1" 200 8949
113.140.28.66 - - [10/Dec/2014:00:11:37 +0800] "GET /sxzn/inc/topFrame.jsp HTTP/1.1" 200 2799
113.140.28.66 - - [10/Dec/2014:00:11:38 +0800] "GET /http_type/images/zoomloader.gif HTTP/1.1" 404 229
66.249.79.99 - - [10/Dec/2014:00:11:40 +0800] "GET /http_type/tm/shandong.htm HTTP/1.1" 304 -
113.140.28.66 - - [10/Dec/2014:00:11:37 +0800] "GET /sxzn/images/logo.jpg HTTP/1.1" 200 38590
113.140.28.66 - - [10/Dec/2014:00:11:38 +0800] "GET /http_type/tm/big.gif HTTP/1.1" 200 316118
113.140.84.108 - - [10/Dec/2014:00:12:37 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18240
61.149.81.22 - - [10/Dec/2014:00:13:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:13:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
113.140.84.108 - - [10/Dec/2014:00:13:50 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=186 HTTP/1.1" 200 6232
61.149.37.106 - - [10/Dec/2014:00:14:25 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:14:25 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
113.140.28.66 - - [10/Dec/2014:00:15:04 +0800] "GET /sxzn/foreground/viewDataset.action?id=2332 HTTP/1.1" 200 1580
113.140.28.66 - - [10/Dec/2014:00:15:06 +0800] "GET /sxzn/foreground/applyDataFile.action?id=2332 HTTP/1.1" 200 7651
113.140.84.108 - - [10/Dec/2014:00:15:26 +0800] "GET /sxzn/logout.action HTTP/1.1" 302 -
113.140.84.108 - - [10/Dec/2014:00:15:26 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
113.140.84.108 - - [10/Dec/2014:00:15:27 +0800] "GET /sxzn/rand.action HTTP/1.1" 200 1272
61.149.81.22 - - [10/Dec/2014:00:18:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:18:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:19:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:19:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
157.55.39.36 - - [10/Dec/2014:00:19:39 +0800] "GET /sxzn/foreground/viewMetadata.action?id=14 HTTP/1.1" 200 9228
61.149.81.22 - - [10/Dec/2014:00:23:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:23:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:24:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:24:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Dec/2014:00:28:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:28:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:29:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:29:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Dec/2014:00:29:33 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:29:33 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
124.114.42.185 - - [10/Dec/2014:00:29:53 +0800] "GET /zszx/map/photo/50huangtu/trqsqht.bmp HTTP/1.1" 200 687456
61.149.81.22 - - [10/Dec/2014:00:33:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:33:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:34:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:34:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
157.55.39.36 - - [10/Dec/2014:00:34:39 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=215 HTTP/1.1" 302 -
157.55.39.36 - - [10/Dec/2014:00:34:40 +0800] "GET /sxzn/login.action;jsessionid=295006C09C2C5B5BA718C2DB3B2A66C7 HTTP/1.1" 200 7451
220.202.128.85 - - [10/Dec/2014:00:35:39 +0800] "GET /wwwlogs/access.log HTTP/1.1" 200 98208
220.202.128.85 - - [10/Dec/2014:00:35:39 +0800] "GET /wwwlogs/access.log HTTP/1.1" 200 114576
220.202.128.85 - - [10/Dec/2014:00:35:40 +0800] "GET /wwwlogs/access.log HTTP/1.1" 200 16368
220.202.128.85 - - [10/Dec/2014:00:35:39 +0800] "GET /wwwlogs/access.log HTTP/1.1" 200 57288
61.149.81.22 - - [10/Dec/2014:00:38:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:38:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:39:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:39:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
103.31.243.28 - - [10/Dec/2014:00:42:45 +0800] "GET /plus/download.php?open=1&arrs1[]=99&arrs1[]=102&arrs1[]=103&arrs1[]=95&arrs1[]=100&arrs1[]=98&arrs1[]=112&arrs1[]=114&arrs1[]=101&arrs1[]=102&arrs1[]=105&arrs1[]=120&arrs2[]=109&arrs2[]=121&arrs2[]=116&arrs2[]=97&arrs2[]=103&arrs2[]=96&arrs2[]=32&arrs2[]=40&arrs2[]=97&arrs2[]=105&arrs2[]=100&arrs2[]=44&arrs2[]=101&arrs2[]=120&arrs2[]=112&arrs2[]=98&arrs2[]=111&arrs2[]=100&arrs2[]=121&arrs2[]=44&arrs2[]=110&arrs2[]=111&arrs2[]=114&arrs2[]=109&arrs2[]=98&arrs2[]=111&arrs2[]=100&arrs2[]=121&arrs2[]=41&arrs2[]=32&arrs2[]=86&arrs2[]=65&arrs2[]=76&arrs2[]=85&arrs2[]=69&arrs2[]=83&arrs2[]=40&arrs2[]=49&arrs2[]=57&arrs2[]=48&arrs2[]=49&arrs2[]=53&arrs2[]=44&arrs2[]=64&arrs2[]=96&arrs2[]=92&arrs2[]=39&arrs2[]=96&arrs2[]=44&arrs2[]=39&arrs2[]=123&arrs2[]=100&arrs2[]=101&arrs2[]=100&arrs2[]=101&arrs2[]=58&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=125&arrs2[]=102&arrs2[]=105&arrs2[]=108&arrs2[]=101&arrs2[]=95&arrs2[]=112&arrs2[]=117&arrs2[]=116&arrs2[]=95&arrs2[]=99&arrs2[]=111&arrs2[]=110&arrs2[]=116&arrs2[]=101&arrs2[]=110&arrs2[]=116&arrs2[]=115&arrs2[]=40&arrs2[]=39&arrs2[]=39&arrs2[]=101&arrs2[]=55&arrs2[]=120&arrs2[]=117&arrs2[]=101&arrs2[]=46&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=39&arrs2[]=39&arrs2[]=44&arrs2[]=39&arrs2[]=39&arrs2[]=60&arrs2[]=63&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=32&arrs2[]=101&arrs2[]=118&arrs2[]=97&arrs2[]=108&arrs2[]=40&arrs2[]=36&arrs2[]=95&arrs2[]=80&arrs2[]=79&arrs2[]=83&arrs2[]=84&arrs2[]=91&arrs2[]=101&arrs2[]=55&arrs2[]=120&arrs2[]=117&arrs2[]=101&arrs2[]=93&arrs2[]=41&arrs2[]=59&arrs2[]=63&arrs2[]=62&arrs2[]=119&arrs2[]=119&arrs2[]=119&arrs2[]=46&arrs2[]=101&arrs2[]=55&arrs2[]=120&arrs2[]=117&arrs2[]=101&arrs2[]=46&arrs2[]=99&arrs2[]=111&arrs2[]=109&arrs2[]=39&arrs2[]=39&arrs2[]=41&arrs2[]=59&arrs2[]=123&arrs2[]=47&arrs2[]=100&arrs2[]=101&arrs2[]=100&arrs2[]=101&arrs2[]=58&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=125&arrs2[]=39&arrs2[]=41&arrs2[]=32&arrs2[]=35&arrs2[]=32&arrs2[]=64&arrs2[]=96&arrs2[]=92&arrs2[]=39&arrs2[]=96 HTTP/1.1" 404 1006
103.31.243.28 - - [10/Dec/2014:00:42:46 +0800] "GET /plus/download.php?open=1&arrs1[]=99&arrs1[]=102&arrs1[]=103&arrs1[]=95&arrs1[]=100&arrs1[]=98&arrs1[]=112&arrs1[]=114&arrs1[]=101&arrs1[]=102&arrs1[]=105&arrs1[]=120&arrs2[]=109&arrs2[]=121&arrs2[]=116&arrs2[]=97&arrs2[]=103&arrs2[]=96&arrs2[]=32&arrs2[]=40&arrs2[]=97&arrs2[]=105&arrs2[]=100&arrs2[]=44&arrs2[]=101&arrs2[]=120&arrs2[]=112&arrs2[]=98&arrs2[]=111&arrs2[]=100&arrs2[]=121&arrs2[]=44&arrs2[]=110&arrs2[]=111&arrs2[]=114&arrs2[]=109&arrs2[]=98&arrs2[]=111&arrs2[]=100&arrs2[]=121&arrs2[]=41&arrs2[]=32&arrs2[]=86&arrs2[]=65&arrs2[]=76&arrs2[]=85&arrs2[]=69&arrs2[]=83&arrs2[]=40&arrs2[]=49&arrs2[]=57&arrs2[]=48&arrs2[]=49&arrs2[]=53&arrs2[]=44&arrs2[]=64&arrs2[]=96&arrs2[]=92&arrs2[]=39&arrs2[]=96&arrs2[]=44&arrs2[]=39&arrs2[]=123&arrs2[]=100&arrs2[]=101&arrs2[]=100&arrs2[]=101&arrs2[]=58&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=125&arrs2[]=102&arrs2[]=105&arrs2[]=108&arrs2[]=101&arrs2[]=95&arrs2[]=112&arrs2[]=117&arrs2[]=116&arrs2[]=95&arrs2[]=99&arrs2[]=111&arrs2[]=110&arrs2[]=116&arrs2[]=101&arrs2[]=110&arrs2[]=116&arrs2[]=115&arrs2[]=40&arrs2[]=39&arrs2[]=39&arrs2[]=101&arrs2[]=55&arrs2[]=120&arrs2[]=117&arrs2[]=101&arrs2[]=46&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=39&arrs2[]=39&arrs2[]=44&arrs2[]=39&arrs2[]=39&arrs2[]=60&arrs2[]=63&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=32&arrs2[]=101&arrs2[]=118&arrs2[]=97&arrs2[]=108&arrs2[]=40&arrs2[]=36&arrs2[]=95&arrs2[]=80&arrs2[]=79&arrs2[]=83&arrs2[]=84&arrs2[]=91&arrs2[]=101&arrs2[]=55&arrs2[]=120&arrs2[]=117&arrs2[]=101&arrs2[]=93&arrs2[]=41&arrs2[]=59&arrs2[]=63&arrs2[]=62&arrs2[]=119&arrs2[]=119&arrs2[]=119&arrs2[]=46&arrs2[]=101&arrs2[]=55&arrs2[]=120&arrs2[]=117&arrs2[]=101&arrs2[]=46&arrs2[]=99&arrs2[]=111&arrs2[]=109&arrs2[]=39&arrs2[]=39&arrs2[]=41&arrs2[]=59&arrs2[]=123&arrs2[]=47&arrs2[]=100&arrs2[]=101&arrs2[]=100&arrs2[]=101&arrs2[]=58&arrs2[]=112&arrs2[]=104&arrs2[]=112&arrs2[]=125&arrs2[]=39&arrs2[]=41&arrs2[]=32&arrs2[]=35&arrs2[]=32&arrs2[]=64&arrs2[]=96&arrs2[]=92&arrs2[]=39&arrs2[]=96 HTTP/1.1" 404 1006
103.31.243.28 - - [10/Dec/2014:00:42:46 +0800] "GET /plus/mytag_js.php?aid=19015 HTTP/1.1" 404 1006
103.31.243.28 - - [10/Dec/2014:00:42:46 +0800] "GET /plus/mytag_js.php?aid=19015 HTTP/1.1" 404 1006
103.31.243.28 - - [10/Dec/2014:00:42:46 +0800] "GET /plus/e7xue.php HTTP/1.1" 404 997
61.149.81.22 - - [10/Dec/2014:00:43:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:43:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:44:14 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:44:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.71 - - [10/Dec/2014:00:45:38 +0800] "GET / HTTP/1.1" 302 -
220.181.108.184 - - [10/Dec/2014:00:45:40 +0800] "GET / HTTP/1.1" 302 -
58.32.236.151 - - [10/Dec/2014:00:48:05 +0800] "GET /http_type/tm/shanxi2.htm HTTP/1.1" 200 124870
58.32.236.117 - - [10/Dec/2014:00:48:30 +0800] "GET /sxzn/browseMetadata.action HTTP/1.1" 200 26368
61.149.81.22 - - [10/Dec/2014:00:48:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:48:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:49:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:49:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [10/Dec/2014:00:53:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:53:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:54:15 +0800] "GET / HTTP/1.1" 302 -
61.149.37.106 - - [10/Dec/2014:00:54:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
104.131.211.97 - - [10/Dec/2014:00:56:17 +0800] "HEAD / HTTP/1.0" 302 -
125.64.35.67 - - [10/Dec/2014:00:56:22 +0800] "GET http://s1.bdstatic.com/r/www/cache/static/home/img/logos/nuomi_ade5465d.png HTTP/1.1" 404 1111
61.149.81.22 - - [10/Dec/2014:00:58:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [10/Dec/2014:00:58:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.37.106 - - [10/Dec/2014:00:59:14 +0800] "GET / HTTP/1.1" 302 -
