66.249.69.123 - - [25/Aug/2016:00:00:02 +0800] "GET /http_type/tm/jqzoom.css HTTP/1.1" 200 1080
111.192.102.34 - - [25/Aug/2016:00:38:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:38:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:39:01 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:39:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:39:40 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:39:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:40:52 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CEE856A14DA190AA3915834B68C32523 HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:40:53 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=43BB9E903E1683C8164162A53D17D7D0 HTTP/1.1" 200 26368
61.149.81.22 - - [25/Aug/2016:00:41:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:41:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:00:43:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:43:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:44:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:44:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:44:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=646D3E21E288FB517DD2D005647AE3A9 HTTP/1.1" 200 26368
113.95.12.85 - - [25/Aug/2016:00:44:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:44:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:00:46:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:46:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:47:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5A1F862A458920723A67F6D6D1A5AC4E HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:47:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=5198E5F865E3FC95F560618ED9CFFA4F HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:00:47:58 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=CC7D0E19F90C1F7E0A93203937D2525A HTTP/1.1" 200 26368
42.156.136.107 - - [25/Aug/2016:00:47:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=64A178264628FCAB7588879C6578ADC8 HTTP/1.1" 200 26368
42.120.160.107 - - [25/Aug/2016:00:47:59 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=BBB7AA3C538C7905BA639AF7D52DD646 HTTP/1.1" 200 26368
111.192.102.34 - - [25/Aug/2016:00:48:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:48:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:49:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:49:03 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:49:40 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:49:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:00:51:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:51:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
42.156.137.107 - - [25/Aug/2016:00:51:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=66910FDE7A10B493BD58EDB76F7E13F9 HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:51:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2C57BCD5167BA009CE8F80BC3FEDC439 HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:00:51:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E542341438B486023BC3DE314231F061 HTTP/1.1" 200 26368
120.52.93.11 - - [25/Aug/2016:00:52:01 +0800] "GET /zszx/map/photo/50huangtu/zlkdwc.bmp HTTP/1.1" 200 867098
113.142.159.179 - - [25/Aug/2016:00:52:47 +0800] "GET /zszx/map/photo/cgzai/cont.bmp HTTP/1.1" 200 867098
111.192.102.34 - - [25/Aug/2016:00:53:22 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:53:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:00:54:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:54:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:54:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:54:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:55:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=B74B356F030262EF48D9498120D8230E HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:55:14 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=50D725A089C43F65881E0F264D2DA360 HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:00:55:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=EF40F4358388B5C245D2870BF2B4E605 HTTP/1.1" 200 26368
42.156.136.107 - - [25/Aug/2016:00:55:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C68033A13DB743FB5997E31477525D60 HTTP/1.1" 200 26368
42.120.160.107 - - [25/Aug/2016:00:55:15 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=8E4896C5A0916B5BADB4AB6E600355BC HTTP/1.1" 200 26368
61.149.81.22 - - [25/Aug/2016:00:56:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:00:56:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:00:58:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:00:58:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:00:58:52 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=50B10B3888020E4989BA9C9471EBA969 HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:00:58:53 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=93EAC7F18ABF45EBCFF72F7A7878C652 HTTP/1.1" 200 26368
58.32.44.98 - - [25/Aug/2016:00:59:03 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:00:59:03 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:00:59:40 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:00:59:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
61.149.81.22 - - [25/Aug/2016:01:00:08 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [25/Aug/2016:01:00:08 +0800] "GET /wwwlogs/ex160824.log HTTP/1.1" 200 383319
61.149.81.22 - - [25/Aug/2016:01:01:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:01:01:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
157.55.39.48 - - [25/Aug/2016:01:01:20 +0800] "GET /http_type/tm/docments/LT51300422004029BJC00%20Metadata.htm HTTP/1.1" 304 -
42.156.137.107 - - [25/Aug/2016:01:02:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=C9CB1F34859F911C942EDF309980EA5B HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:01:02:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=177F6E11E4158123947252816C5B2D7C HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:01:02:34 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=6F6660EE5E3AC20E1D7F409B7D6698BB HTTP/1.1" 200 26368
42.156.136.107 - - [25/Aug/2016:01:02:35 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=E2403CE1976ACB04155683D9D2693886 HTTP/1.1" 200 26368
111.192.102.34 - - [25/Aug/2016:01:03:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:01:03:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:01:04:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:01:04:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:01:04:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:01:04:40 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
103.24.0.48 - - [25/Aug/2016:01:05:16 +0800] "GET /http-req HTTP/1.1" 400 -
42.156.137.107 - - [25/Aug/2016:01:06:12 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3830DF9065965CF9384C5D9C3603C838 HTTP/1.1" 200 26368
61.149.81.22 - - [25/Aug/2016:01:06:13 +0800] "GET / HTTP/1.1" 302 -
42.156.138.107 - - [25/Aug/2016:01:06:13 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2895C70CE09DAE31525ADEBA9A02108B HTTP/1.1" 200 26368
61.149.81.22 - - [25/Aug/2016:01:06:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:01:08:22 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:01:08:22 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
58.32.44.98 - - [25/Aug/2016:01:09:02 +0800] "HEAD / HTTP/1.1" 302 -
58.32.44.98 - - [25/Aug/2016:01:09:02 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
113.95.12.85 - - [25/Aug/2016:01:09:39 +0800] "HEAD / HTTP/1.1" 302 -
113.95.12.85 - - [25/Aug/2016:01:09:39 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:01:09:53 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=2E07C7660BE37B98EBA1BB7931EA3BFA HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:01:09:53 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=A7B230E60C4EA294CB6D20D65BB732BA HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:01:09:53 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=1A83D61226BA4CEC0E70F29F105ADD55 HTTP/1.1" 200 26368
42.156.136.107 - - [25/Aug/2016:01:09:53 +0800] "GET /sxzn/foreground/viewMetadata.action?id=15 HTTP/1.1" 200 9305
61.149.81.22 - - [25/Aug/2016:01:11:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [25/Aug/2016:01:11:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18643
111.192.102.34 - - [25/Aug/2016:01:13:21 +0800] "HEAD / HTTP/1.1" 302 -
111.192.102.34 - - [25/Aug/2016:01:13:21 +0800] "HEAD /sxzn/index.action HTTP/1.1" 200 -
42.156.137.107 - - [25/Aug/2016:01:13:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=3A78709C9802B09ACB2D5C5530381411 HTTP/1.1" 200 26368
42.156.138.107 - - [25/Aug/2016:01:13:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=304311D80C89E513B12F7019EB794B53 HTTP/1.1" 200 26368
42.156.139.107 - - [25/Aug/2016:01:13:33 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=7E0189165BF39DD023829C9AB36F5BEE HTTP/1.1" 200 26368
