66.249.75.124 - - [09/Feb/2015:00:00:26 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=ABFB6766828D871F1EBA28F392A913D2?d-49747-p=6 HTTP/1.1" 200 25067
61.149.81.22 - - [09/Feb/2015:01:39:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:39:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.152 - - [09/Feb/2015:01:39:47 +0800] "GET /sxzn/foreground/browseMetadata.action?d-49747-p=2 HTTP/1.1" 200 25350
66.249.69.155 - - [09/Feb/2015:01:40:30 +0800] "GET /zszx/ HTTP/1.1" 304 -
68.180.228.88 - - [09/Feb/2015:01:40:59 +0800] "GET /sxzn/foreground/viewMetadata.action?id=6 HTTP/1.1" 200 10666
61.149.81.22 - - [09/Feb/2015:01:42:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:42:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
218.30.103.57 - - [09/Feb/2015:01:43:32 +0800] "GET /zszx/handbook/handbook2.htm HTTP/1.1" 200 228934
61.149.81.22 - - [09/Feb/2015:01:44:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:44:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:47:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:47:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:49:37 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:49:37 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:52:54 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:52:54 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
121.232.128.57 - - [09/Feb/2015:01:53:04 +0800] "GET http://www.baidu.com/ HTTP/1.1" 302 -
121.232.128.57 - - [09/Feb/2015:01:53:04 +0800] "GET http://www.baidu.com/sxzn/index.action HTTP/1.1" 200 18501
61.149.81.22 - - [09/Feb/2015:01:54:49 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:54:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:57:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:57:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:01:59:42 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:01:59:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:02:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:02:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:04:35 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:04:36 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:07:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:07:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:09:58 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:09:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:12:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:12:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:14:55 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:14:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:17:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:17:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:20:07 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:20:07 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
218.30.103.42 - - [09/Feb/2015:02:20:11 +0800] "GET /zszx/map/photo/50huangtu/pldfb.bmp HTTP/1.1" 200 867098
157.55.39.167 - - [09/Feb/2015:02:20:35 +0800] "GET /zszx/map/standard/index_2_4.htm HTTP/1.1" 304 -
157.55.39.166 - - [09/Feb/2015:02:22:09 +0800] "GET /tlp/user/main.jsp?table=m_rll HTTP/1.1" 200 2511
61.149.81.22 - - [09/Feb/2015:02:22:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:22:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.234 - - [09/Feb/2015:02:24:34 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=99 HTTP/1.1" 302 -
111.206.71.105 - - [09/Feb/2015:02:27:31 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:27:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:27:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
220.181.108.156 - - [09/Feb/2015:02:28:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:29:33 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:29:33 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.75.124 - - [09/Feb/2015:02:32:00 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=ABFB6766828D871F1EBA28F392A913D2?d-49747-p=7 HTTP/1.1" 200 24926
61.149.81.22 - - [09/Feb/2015:02:32:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:32:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:34:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:34:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
68.180.228.88 - - [09/Feb/2015:02:36:14 +0800] "GET /sxzn/foreground/viewMetadata.action?id=16 HTTP/1.1" 200 9226
61.149.81.22 - - [09/Feb/2015:02:37:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:37:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:39:49 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:39:49 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:42:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:42:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:44:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:44:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:47:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:47:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:49:46 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:49:46 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:52:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:52:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
1.164.43.44 - - [09/Feb/2015:02:52:54 +0800] "CONNECT mx3.mail2000.com.tw:25 HTTP/1.0" 302 -
61.149.81.22 - - [09/Feb/2015:02:54:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:54:50 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:02:57:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:57:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
117.41.187.232 - - [09/Feb/2015:02:58:06 +0800] "GET / HTTP/1.1" 302 -
117.41.187.232 - - [09/Feb/2015:02:58:09 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.38 - - [09/Feb/2015:02:59:42 +0800] "GET /sxzn/foreground/viewMetadata.action?id=131 HTTP/1.1" 200 9170
61.149.81.22 - - [09/Feb/2015:02:59:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:02:59:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
180.76.4.28 - - [09/Feb/2015:03:01:59 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:02:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:02:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.57 - - [09/Feb/2015:03:03:34 +0800] "GET /sxzn/css/metadata.css HTTP/1.1" 200 945
111.206.71.26 - - [09/Feb/2015:03:03:34 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
111.206.71.53 - - [09/Feb/2015:03:03:34 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
111.206.71.12 - - [09/Feb/2015:03:03:34 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
111.206.71.16 - - [09/Feb/2015:03:03:34 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
61.149.81.22 - - [09/Feb/2015:03:04:56 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:04:59 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:07:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:07:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:09:47 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:09:47 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.196 - - [09/Feb/2015:03:11:46 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=17 HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:12:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:12:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:14:38 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:14:38 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:17:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:17:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.87 - - [09/Feb/2015:03:18:21 +0800] "GET / HTTP/1.1" 302 -
220.181.108.151 - - [09/Feb/2015:03:19:20 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:19:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:19:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.15 - - [09/Feb/2015:03:19:40 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=92 HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:22:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:22:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.8.38 - - [09/Feb/2015:03:22:58 +0800] "GET / HTTP/1.0" 302 -
61.149.8.38 - - [09/Feb/2015:03:22:59 +0800] "GET /sxzn/index.action HTTP/1.0" 200 18346
61.149.8.38 - - [09/Feb/2015:03:23:00 +0800] "GET / HTTP/1.0" 302 -
61.149.8.38 - - [09/Feb/2015:03:23:01 +0800] "GET /sxzn/index.action HTTP/1.0" 200 18409
61.149.81.22 - - [09/Feb/2015:03:24:42 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:24:42 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:27:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:27:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
68.180.228.88 - - [09/Feb/2015:03:28:22 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=108 HTTP/1.1" 302 -
68.180.228.88 - - [09/Feb/2015:03:28:22 +0800] "GET /sxzn/login.action;jsessionid=20B211590AF05F69259047B694E7FA67 HTTP/1.1" 200 7451
61.149.81.22 - - [09/Feb/2015:03:30:02 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:30:02 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:32:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:32:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:34:55 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:34:58 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:37:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:37:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:39:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:39:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.196 - - [09/Feb/2015:03:40:12 +0800] "GET /sxzn/foreground/viewMetadata.action?id=8 HTTP/1.1" 200 9324
61.149.81.22 - - [09/Feb/2015:03:42:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:42:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:44:35 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:44:35 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.75.140 - - [09/Feb/2015:03:47:47 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=ABFB6766828D871F1EBA28F392A913D2?d-49747-p=2 HTTP/1.1" 200 25350
61.149.81.22 - - [09/Feb/2015:03:47:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:47:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:49:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:49:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:52:53 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:52:53 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:54:39 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:54:39 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:57:52 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:57:52 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:03:59:57 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:03:59:57 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [09/Feb/2015:04:02:51 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:04:02:51 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
207.46.13.12 - - [09/Feb/2015:04:03:38 +0800] "GET /clim/advanced/main.jsp?table=clim_temp HTTP/1.1" 200 2812
61.149.81.22 - - [09/Feb/2015:04:04:32 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [09/Feb/2015:04:04:32 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
188.165.15.99 - - [09/Feb/2015:04:06:13 +0800] "GET /sxzn/foreground/listDataOfMD.action?id=89 HTTP/1.1" 302 -
