111.206.71.73 - - [01/Apr/2015:00:02:09 +0800] "GET /tlp/user/images/riverintro2.gif HTTP/1.1" 404 229
61.149.81.22 - - [01/Apr/2015:00:22:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:22:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
182.118.45.232 - - [01/Apr/2015:00:22:23 +0800] "GET / HTTP/1.1" 302 -
182.118.45.232 - - [01/Apr/2015:00:22:23 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18522
61.149.81.22 - - [01/Apr/2015:00:24:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:24:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:27:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:27:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.101 - - [01/Apr/2015:00:28:46 +0800] "GET / HTTP/1.1" 302 -
220.181.108.160 - - [01/Apr/2015:00:28:53 +0800] "GET / HTTP/1.1" 302 -
111.206.71.113 - - [01/Apr/2015:00:29:24 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
220.181.108.183 - - [01/Apr/2015:00:29:34 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:29:40 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:29:40 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
61.149.81.22 - - [01/Apr/2015:00:29:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:29:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:32:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:32:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:34:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:34:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:37:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:37:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:39:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:39:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:42:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:42:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:44:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:44:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:47:15 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:47:15 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
128.61.240.66 - - [01/Apr/2015:00:47:53 +0800] "GET / HTTP/1.0" 302 -
61.149.81.22 - - [01/Apr/2015:00:49:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:49:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
180.76.4.111 - - [01/Apr/2015:00:51:06 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:52:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:52:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:54:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:54:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:57:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:57:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:59:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:00:59:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:00:59:50 +0800] "GET /wwwlogs/ex140914.log HTTP/1.1" 404 1015
61.149.81.22 - - [01/Apr/2015:00:59:50 +0800] "GET /wwwlogs/ex150331.log HTTP/1.1" 200 231688
61.149.81.22 - - [01/Apr/2015:01:02:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:02:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:04:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:04:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:07:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:07:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.42 - - [01/Apr/2015:01:07:26 +0800] "GET /zszx/map/photo/80huagtu/plwkxsl.bmp HTTP/1.1" 200 867098
61.149.81.22 - - [01/Apr/2015:01:09:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:09:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:12:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:12:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:15:04 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:15:04 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:17:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:17:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:19:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:19:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:22:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:22:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:24:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:24:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:27:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:27:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:29:40 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:29:40 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
61.149.81.22 - - [01/Apr/2015:01:29:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:29:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
210.77.64.207 - - [01/Apr/2015:01:31:56 +0800] "GET /sxzn/viewMetadata.action?id=10 HTTP/1.1" 200 9083
210.77.64.207 - - [01/Apr/2015:01:31:57 +0800] "HEAD /sxzn/viewMetadata.action?id=10 HTTP/1.1" 200 -
61.149.81.22 - - [01/Apr/2015:01:32:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:32:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:34:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:34:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
5.255.253.27 - - [01/Apr/2015:01:36:42 +0800] "GET / HTTP/1.1" 302 -
5.255.253.27 - - [01/Apr/2015:01:36:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
61.149.81.22 - - [01/Apr/2015:01:37:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:37:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:39:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:39:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
220.181.108.154 - - [01/Apr/2015:01:41:29 +0800] "GET / HTTP/1.1" 302 -
111.206.71.54 - - [01/Apr/2015:01:41:32 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:42:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:42:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.26 - - [01/Apr/2015:01:42:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
220.181.108.153 - - [01/Apr/2015:01:42:18 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
121.232.128.53 - - [01/Apr/2015:01:43:04 +0800] "GET http://www.baidu.com/ HTTP/1.1" 302 -
121.232.128.53 - - [01/Apr/2015:01:43:04 +0800] "GET http://www.baidu.com/sxzn/index.action HTTP/1.1" 200 18501
61.149.81.22 - - [01/Apr/2015:01:44:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:44:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:47:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:47:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:49:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:49:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:52:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:52:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:54:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:54:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:57:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:57:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:01:59:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:01:59:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:02:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:02:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.67.116 - - [01/Apr/2015:02:03:34 +0800] "GET /http_type/tm/xinjiang.htm HTTP/1.1" 200 637324
61.149.81.22 - - [01/Apr/2015:02:04:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:04:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:07:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:07:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:09:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:09:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:12:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:12:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
68.180.228.88 - - [01/Apr/2015:02:14:04 +0800] "GET /sxzn/foreground/viewMetadata.action?id=54 HTTP/1.1" 200 9500
61.149.81.22 - - [01/Apr/2015:02:14:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:14:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:17:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:17:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
207.46.13.105 - - [01/Apr/2015:02:18:51 +0800] "GET /sxzn/foreground/viewMetadata.action?id=19 HTTP/1.1" 200 9552
61.149.81.22 - - [01/Apr/2015:02:19:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:19:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
116.76.247.59 - - [01/Apr/2015:02:20:12 +0800] "GET /zszx/map/photo/cgzai/slop.bmp HTTP/1.1" 200 867098
61.149.81.22 - - [01/Apr/2015:02:22:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:22:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:24:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:24:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:27:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:27:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:29:42 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:29:42 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18585
61.149.81.22 - - [01/Apr/2015:02:29:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:29:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:32:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:32:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:34:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:34:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:37:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:37:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:39:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:39:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:42:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:42:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
198.154.104.39 - - [01/Apr/2015:02:43:12 +0800] "GET /sxzn/foreground/browseMetadata.action;jsessionid=6F6B755E4892188D8401CCC73CBED5CC?d-49747-p=8 HTTP/1.1" 200 24314
61.149.81.22 - - [01/Apr/2015:02:44:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:44:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
121.232.128.52 - - [01/Apr/2015:02:44:56 +0800] "GET http://www.baidu.com/ HTTP/1.1" 302 -
121.232.128.52 - - [01/Apr/2015:02:44:57 +0800] "GET http://www.baidu.com/sxzn/index.action HTTP/1.1" 200 18501
220.181.108.122 - - [01/Apr/2015:02:45:32 +0800] "GET / HTTP/1.1" 302 -
111.206.71.113 - - [01/Apr/2015:02:45:38 +0800] "GET / HTTP/1.1" 302 -
220.181.108.77 - - [01/Apr/2015:02:46:08 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
111.206.71.91 - - [01/Apr/2015:02:46:11 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:47:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:47:14 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:49:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:49:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.67.100 - - [01/Apr/2015:02:49:50 +0800] "GET /list/main.jsp HTTP/1.1" 200 873
180.76.4.25 - - [01/Apr/2015:02:50:14 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:52:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:52:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.67.108 - - [01/Apr/2015:02:54:00 +0800] "GET /sxzn/css/layout.css HTTP/1.1" 200 6591
66.249.67.100 - - [01/Apr/2015:02:54:01 +0800] "GET /sxzn/css/index.css HTTP/1.1" 200 1730
61.149.81.22 - - [01/Apr/2015:02:54:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:54:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:57:13 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:57:13 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:02:59:45 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:02:59:45 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:03:02:12 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:03:02:12 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.67.100 - - [01/Apr/2015:03:03:21 +0800] "GET /http_type/tm/anhui.htm HTTP/1.1" 200 255731
61.149.81.22 - - [01/Apr/2015:03:04:44 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:03:04:44 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
61.149.81.22 - - [01/Apr/2015:03:07:11 +0800] "GET / HTTP/1.1" 302 -
61.149.81.22 - - [01/Apr/2015:03:07:11 +0800] "GET /sxzn/index.action HTTP/1.1" 200 18409
66.249.67.116 - - [01/Apr/2015:03:07:30 +0800] "GET /http_type/tm/html/pic/LT51230372004204BJC00.jpg HTTP/1.1" 404 1096
66.249.67.108 - - [01/Apr/2015:03:07:33 +0800] "GET /http_type/tm/html/docments/LT41200371989069XXX02%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:07:35 +0800] "GET /http_type/tm/html/pic/LT51210372006211IKR00.jpg HTTP/1.1" 404 1096
66.249.67.116 - - [01/Apr/2015:03:07:36 +0800] "GET /http_type/tm/html/docments/LT51230361995099XXX00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:07:38 +0800] "GET /http_type/tm/html/docments/LT51210362006211IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:07:41 +0800] "GET /http_type/tm/html/docments/LT51220362006122BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:07:43 +0800] "GET /http_type/tm/html/pic/LT51220372006122BJC00.jpg HTTP/1.1" 404 1096
66.249.67.100 - - [01/Apr/2015:03:07:51 +0800] "GET /http_type/tm/html/pic/LT51220372006234IKR00.jpg HTTP/1.1" 404 1096
66.249.67.116 - - [01/Apr/2015:03:07:51 +0800] "GET /http_type/tm/html/docments/LT51220372006122BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:07:53 +0800] "GET /http_type/tm/html/docments/LT51230362007212IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:07:56 +0800] "GET /http_type/tm/html/docments/LT51200382006140BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:07:59 +0800] "GET /http_type/tm/html/docments/LT51210362005224BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:07:59 +0800] "GET /http_type/tm/html/pic/LT51220382007237IKR00.jpg HTTP/1.1" 404 1096
66.249.67.116 - - [01/Apr/2015:03:08:02 +0800] "GET /http_type/tm/html/docments/LT51220382006202IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:08:04 +0800] "GET /http_type/tm/html/docments/LT51210372007214IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:08:07 +0800] "GET /http_type/tm/html/pic/LT51210382006211IKR00.jpg HTTP/1.1" 404 1096
66.249.67.116 - - [01/Apr/2015:03:08:07 +0800] "GET /http_type/tm/html/docments/LT41230371989042XXX02%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:08:13 +0800] "GET /http_type/tm/html/docments/LT51220392007109BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:08:15 +0800] "GET /http_type/tm/html/pic/LT41210401989044XXX02.jpg HTTP/1.1" 404 1096
66.249.67.108 - - [01/Apr/2015:03:08:18 +0800] "GET /http_type/tm/html/docments/LT51200372007207IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:08:23 +0800] "GET /http_type/tm/html/pic/LT51210372007198IKR00.jpg HTTP/1.1" 404 1096
66.249.67.100 - - [01/Apr/2015:03:08:23 +0800] "GET /http_type/tm/html/docments/LT51220392004261BJC01%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:08:29 +0800] "GET /http_type/tm/html/docments/LT41230361989042XXX03%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:08:30 +0800] "GET /http_type/tm/html/pic/LT51220392007109BJC00.jpg HTTP/1.1" 404 1096
66.249.67.100 - - [01/Apr/2015:03:08:35 +0800] "GET /http_type/tm/html/docments/LT51220382006170IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:08:38 +0800] "GET /http_type/tm/html/pic/LT51210362007198IKR00.jpg HTTP/1.1" 404 1096
66.249.67.108 - - [01/Apr/2015:03:08:39 +0800] "GET /http_type/tm/html/docments/LT51210381995261XXX00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.100 - - [01/Apr/2015:03:08:45 +0800] "GET /http_type/tm/html/docments/LT51220362004261BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:08:46 +0800] "GET /http_type/tm/html/pic/LT51210392007278IKR00.jpg HTTP/1.1" 404 1096
66.249.67.100 - - [01/Apr/2015:03:08:50 +0800] "GET /http_type/tm/html/docments/LT51200382006268IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:08:54 +0800] "GET /http_type/tm/html/pic/LT51190381994132XXX02.jpg HTTP/1.1" 404 1096
66.249.67.108 - - [01/Apr/2015:03:08:55 +0800] "GET /http_type/tm/html/docments/LT51230362004204BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:09:01 +0800] "GET /http_type/tm/html/docments/LT51210372005224BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:09:02 +0800] "GET /http_type/tm/html/pic/LT51210402005272BJC00.jpg HTTP/1.1" 404 1096
66.249.67.100 - - [01/Apr/2015:03:09:06 +0800] "GET /http_type/tm/html/docments/LT51210362007198IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:09:10 +0800] "GET /http_type/tm/html/pic/LT51210361995085XXX00.jpg HTTP/1.1" 404 1096
66.249.67.108 - - [01/Apr/2015:03:09:11 +0800] "GET /http_type/tm/html/docments/LT51210362007134IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:09:17 +0800] "GET /http_type/tm/html/docments/LT51220372006234IKR00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.108 - - [01/Apr/2015:03:09:18 +0800] "GET /http_type/tm/html/pic/LT41200371989069XXX02.jpg HTTP/1.1" 404 1096
66.249.67.100 - - [01/Apr/2015:03:09:22 +0800] "GET /http_type/tm/html/docments/LT51210382005224BJC00%20Metadata.htm HTTP/1.1" 404 259
66.249.67.116 - - [01/Apr/2015:03:09:26 +0800] "GET /http_type/tm/html/pic/LT51220372007253IKR00.jpg HTTP/1.1" 404 1096
66.249.67.108 - - [01/Apr/2015:03:09:27 +0800] "GET /http_type/tm/html/docments/LT51200371995110XXX00%20Metadata.htm HTTP/1.1" 404 259
